#@ra,dec,string
RA,DEC,ID
84.704319,-69.10213,30-DOR
13.925007,-73.072641,BRUCK-83
93.392796,-70.707239,ESO057-SC075
90.479069,-60.527286,ESO121-SC003
89.58089,-68.345,HODGE-10
93.556958,-69.846467,H11-CEN
93.221069,-69.81882,H11-HALF
93.584941,-69.853943,HODGE11
93.929685,-69.806712,H11-CEN
93.781648,-69.812112,H11-HALF
93.545296,-69.85367,H11-HALF
82.204835,-73.630703,SL506
82.214021,-73.506529,H14-CEN
82.12039,-73.628743,H14-CEN
82.44275,-73.63494,H14-HALF
82.110137,-73.632623,H14-HALF
81.829947,-73.552692,H14-HALF
79.473877,-69.644595,H-2
84.571513,-69.081219,NGC2070-NW-SHE
85.553314,-71.592173,H-6
87.551317,-67.72351,HODGE7
81.073412,-69.77906,HS-275
18.199162,-71.76877,IC1660
84.468101,-74.770093,IC2146
5.386266,-73.761167,KRON1
10.390263,-72.899878,KRON21
6.216601,-72.789631,ESO121
6.164586,-72.794474,KRON-3
13.931074,-72.841541,KRON34
81.41941,-66.284225,LH52
0.977305,-73.474603,LINDSAY-1
1.020396,-73.474208,LINDSAY1
27.408153,-73.716396,LINDSAY113
12.243985,-69.870358,LINDSAY-38
12.253303,-69.861361,LINDSAY38
18.259932,-73.1303,LINDSAY91
6.673787,-71.53259,NGC121
6.671359,-71.535881,NGC121
8.237849,-73.130455,NGC152
69.447644,-66.207445,NGC1644
69.35988,-70.589625,NGC1651
69.387361,-70.583343,NGC-1651
69.626987,-68.681175,NGC1652
72.706849,-70.000058,NGC1711
73.083925,-67.055693,NGC1718
73.122173,-67.046332,NGC-1718
73.585063,-69.81655,ESO056-SC023-C
73.587891,-69.816199,NGC1751
73.575625,-69.812778,NGC-1751
73.593483,-70.44648,NGC1754
73.850121,-68.197065,NGC1755
73.746509,-69.230783,NGC1756
8.957496,-73.164075,NGC176
73.959478,-74.295316,NGC1777
74.764929,-65.999045,ESO085-SC029
74.817843,-65.995459,NGC1783
74.788435,-65.983863,NGC1783
74.772375,-65.994861,NGC-1783
74.790789,-67.752831,NGC1786
74.985796,-69.793782,NGC1795
75.181988,-69.621229,NGC1801
75.60102,-66.107041,NGC1805-CEN
75.590993,-66.098221,NGC1805-HALF
75.367971,-66.031317,NGC1805-CEN
75.459822,-66.036079,NGC1805-HALF
75.424233,-66.006832,NGC1805-HALF
75.589643,-67.990373,ESO056-SC004
75.586567,-67.978885,NGC1806
75.574583,-67.987917,NGC-1806
76.059968,-66.420638,NGC1818
76.092153,-66.434381,NGC1818-CEN
76.258864,-66.420401,NGC1818-HALF
76.039659,-66.43725,NGC1818-HALF
75.756291,-66.404305,NGC1818-HALF
76.575404,-64.922651,NGC1831
76.393548,-64.822951,NGC1831-CEN
76.578812,-64.913358,NGC1831-CEN
76.734533,-64.900932,NGC1831-HALF
76.534297,-64.905505,NGC1831-HALF
76.326909,-64.836962,NGC1831-HALF
76.278535,-69.403718,NGC1835
76.296999,-69.408466,NGC1835
76.874703,-67.473637,ESO056-SC067
76.924523,-67.467717,NGC1846
76.921294,-67.449797,NGC1846-OUT
76.886992,-67.349047,NGC1846-OUT
76.763053,-68.969858,NGC1847
77.181896,-68.752547,NGC1850
77.384185,-67.78577,NGC1852
77.368333,-67.781944,NGC-1852
77.371015,-68.854736,NGC1854
77.352363,-69.1321,NGC1856
77.382252,-69.119168,NGC1856
77.528339,-68.912026,NGC1858
77.641986,-68.757323,NGC1860
78.444093,-65.464461,NGC1866
78.434243,-65.45965,NGC1866
78.630355,-63.951991,NGC1868
78.87729,-63.885819,NGC1868-CEN
78.65609,-63.964211,NGC1868-CEN
78.521344,-63.891256,NGC1868-HALF
78.644747,-63.948739,NGC1868-HALF
78.447229,-63.878356,NGC1868-HALF
78.336708,-69.319094,NGC1872
79.177508,-69.669761,NGC1898
79.336143,-69.322454,NGC1903
79.660385,-69.420391,NGC1916
79.796158,-69.006929,NGC1917
80.280496,-69.472729,NGC1928
80.391717,-69.938375,NGC1939
80.66172,-70.160592,NGC1943
81.405246,-68.842366,NGC1953
82.221118,-66.24253,NGC1978
82.20625,-66.238333,NGC-1978
81.975348,-68.991092,NGC1983
81.925455,-69.124342,NGC1984
81.860552,-70.742954,ESO056-SC131
81.864784,-70.742219,NGC1987
82.621935,-66.877794,NGC2002
82.654507,-67.283157,NGC2004
82.668167,-67.273538,NGC2004
82.726117,-67.299393,NGC2004
82.53632,-69.746928,NGC-2005
82.566462,-69.756479,NGC2005
82.686623,-70.824801,NGC2010
83.104635,-67.518613,NGC2011
83.010898,-70.162909,NGC2019
83.486778,-70.998988,NGC2031
84.140478,-66.986047,NGC2041
84.179566,-70.661969,NGC2056
85.510855,-69.207768,NGC2100
85.537982,-69.198914,NGC2100
85.562561,-69.213942,NGC2100
85.843795,-70.646225,NGC2107
86.026975,-69.171837,ESO057-SC033
86.023151,-69.17289,NGC2108
87.03871,-71.484917,NGC2121
87.03991,-71.485552,NGC2121
87.525353,-71.164527,NGC2134
88.00686,-71.094665,NGC2134
88.220455,-69.496258,NGC2136
89.445423,-67.265919,NGC2154
89.428333,-67.263333,NGC-2154
89.627152,-65.485583,NGC2155
89.448987,-66.397702,NGC2156
89.478343,-68.456691,NGC2156
89.359094,-69.196097,NGC2157
89.410446,-69.223754,NGC2157
89.543661,-68.625062,NGC2159
90.146945,-63.717869,NGC2162
89.71797,-68.512003,NGC2164
89.769074,-68.516153,NGC2164
90.049968,-68.638967,NGC2172
89.482329,-72.984917,NGC2173
89.482236,-72.973876,NGC-2173
91.56392,-65.10611,NGC2193
91.160089,-75.432371,NGC-2203
92.135819,-73.843427,NGC2209
92.134387,-73.814252,NGC2209-HALF
92.486665,-73.761694,NGC2209-CEN
92.103135,-73.835657,NGC2209-CEN
91.884362,-73.769151,NGC2209-HALF
91.841826,-73.735579,NGC2209-HALF
92.632911,-69.038666,NGC2210-CEN
92.885077,-69.135152,NGC2210
92.676565,-71.542877,NGC2213
92.680313,-71.522861,NGC-2213
93.216495,-68.265344,NGC2214
95.157773,-67.525291,NGC2231
96.469804,-68.915381,NGC2249
97.543942,-64.334714,NGC2257
11.832536,-73.488305,NGC265
13.301886,-73.39319,NGC294
13.402098,-72.20593,NGC299
14.039424,-72.461904,NGC330
14.10757,-72.460248,NGC330
14.08762,-72.471401,NGC330
14.433891,-74.456429,NGC339
14.435541,-74.475768,NGC339
14.789092,-72.176306,NGC346
15.537743,-71.592397,NGC361
16.024698,-72.833581,NGC376
17.001144,-71.76361,NGC411
16.974485,-71.760683,NGC-411
16.979899,-71.753109,NGC419
16.965265,-72.354961,NGC416
16.977802,-72.365987,NGC416
16.968869,-72.34696,NGC416
17.106686,-72.878818,NGC419
17.094167,-72.879167,NGC-419
17.315956,-71.765063,NGC422
17.359262,-71.781803,NGC422
18.688389,-71.547203,NGC458
18.866375,-73.322274,NGC465
22.378951,-73.554823,NGC602
22.428818,-73.569336,NGC602
83.096002,-64.74157,SL556
85.614063,-65.369216,SL633
92.057202,-62.994191,SL842
92.720819,-65.051119,SL855