#@int,string,string,string,string,ra,dec,string,string,string,string,string,string,string,string,string,string,string,float,float,float,string
idx,instrument_x,detector,propid,target,s_ra,s_dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,obs_id,instrument_y,filters,wavelength_region,t_min,t_max,t_exptime,s_region
0,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
1,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
2,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
3,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
4,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
5,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
6,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
7,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
8,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
9,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
10,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
11,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
12,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114faq,ACS/10396_SMC-FIELD-NE/j96114faq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
13,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114faq,ACS/10396_SMC-FIELD-NE/j96114faq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
14,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114faq,ACS/10396_SMC-FIELD-NE/j96114faq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
15,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114faq,ACS/10396_SMC-FIELD-NE/j96114faq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
16,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114fcq,ACS/10396_SMC-FIELD-NE/j96114fcq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
17,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114fcq,ACS/10396_SMC-FIELD-NE/j96114fcq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
18,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114fcq,ACS/10396_SMC-FIELD-NE/j96114fcq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
19,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114fcq,ACS/10396_SMC-FIELD-NE/j96114fcq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
20,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114feq,ACS/10396_SMC-FIELD-NE/j96114feq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
21,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114feq,ACS/10396_SMC-FIELD-NE/j96114feq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
22,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114feq,ACS/10396_SMC-FIELD-NE/j96114feq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
23,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114feq,ACS/10396_SMC-FIELD-NE/j96114feq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
24,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fhq,ACS/10396_SMC-FIELD-NE/j96114fhq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
25,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fhq,ACS/10396_SMC-FIELD-NE/j96114fhq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
26,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fhq,ACS/10396_SMC-FIELD-NE/j96114fhq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
27,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fhq,ACS/10396_SMC-FIELD-NE/j96114fhq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
28,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fjq,ACS/10396_SMC-FIELD-NE/j96114fjq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
29,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fjq,ACS/10396_SMC-FIELD-NE/j96114fjq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
30,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fjq,ACS/10396_SMC-FIELD-NE/j96114fjq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
31,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,20,2005-11-29,j96114fjq,ACS/10396_SMC-FIELD-NE/j96114fjq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
32,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
33,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
34,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
35,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fkq,ACS/10396_SMC-FIELD-NE/j96114fkq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
36,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
37,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
38,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
39,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fmq,ACS/10396_SMC-FIELD-NE/j96114fmq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
40,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
41,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
42,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
43,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114foq,ACS/10396_SMC-FIELD-NE/j96114foq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
44,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
45,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
46,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
47,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,F555W,CLEAR2L,Gallagher,496,2005-11-29,j96114fqq,ACS/10396_SMC-FIELD-NE/j96114fqq_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
48,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09ANQ,WFC3/UVIS,F475W,OPTICAL,56945.68968,56945.68991,20.0,POLYGON ICRS  73.56436921 -67.19556601  73.68133004 -67.19198525  73.69707231 -67.23737073  73.58114805 -67.24040393  73.56436921 -67.19556601
49,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09B0Q,WFC3/UVIS,F555W,OPTICAL,56945.72696,56945.72719,20.0,POLYGON ICRS  73.56436921 -67.19556601  73.68133004 -67.19198525  73.69707231 -67.23737073  73.58114805 -67.24040393  73.56436921 -67.19556601
50,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09BDQ,WFC3/UVIS,F814W,OPTICAL,56945.78632,56945.78655,20.0,POLYGON ICRS  73.56436921 -67.19556601  73.68133004 -67.19198525  73.69707231 -67.23737073  73.58114805 -67.24040393  73.56436921 -67.19556601
51,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09010,WFC3/UVIS,F475W,OPTICAL,56945.69149,56945.71883,1050.0,POLYGON 73.68133004 -67.19198525 73.56436921 -67.19556601 73.58114805 -67.24040393 73.69707231 -67.23737073 73.68133004 -67.19198525 73.68133004 -67.19198525
52,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09020,WFC3/UVIS,F555W,OPTICAL,56945.69734,56945.72545,1117.0,POLYGON 73.68133038 -67.19198535 73.5643695 -67.19556587 73.58114773 -67.24040382 73.69707202 -67.23737086 73.68133038 -67.19198535 73.68133038 -67.19198535
53,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09030,WFC3/UVIS,F656N,OPTICAL,56945.74785,56945.77882,1350.0,POLYGON 73.68133038 -67.19198535 73.5643695 -67.19556587 73.58114773 -67.24040382 73.69707202 -67.23737086 73.68133038 -67.19198535 73.68133038 -67.19198535
54,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09aqq,WFC3/13282_LMC-FIELD-E/icco09aqq_flc.fits,ICCO09040,WFC3/UVIS,F814W,OPTICAL,56945.75495,56945.78477,1050.0,POLYGON 73.68133004 -67.19198525 73.56436921 -67.19556601 73.58114805 -67.24040393 73.69707231 -67.23737073 73.68133004 -67.19198525 73.68133004 -67.19198525
55,WFC3,UVIS,13282,LMC-FIELD-E,73.63125,-67.2162,F555W,...,Chu,350,2014-10-15,icco09auq,WFC3/13282_LMC-FIELD-E/icco09auq_flc.fits,ICCO09ANQ,WFC3/UVIS,F475W,OPTICAL,56945.68968,56945.68991,20.0,POLYGON ICRS  73.56436921 -67.19556601  73.68133004 -67.19198525  73.69707231 -67.23737073  73.58114805 -67.24040393  73.56436921 -67.19556601
